site,mean_wind,lat,long
0,8.467109358885143,16.53817,-67.88376
1,8.476127713851303,16.565155,-67.884155
2,8.485829770270328,16.59214,-67.88458
3,8.491212192168051,16.619118,-67.88498
4,8.491186869364945,16.64611,-67.885376
5,8.491187391017032,16.673065,-67.8858
6,8.489235280743387,16.700066,-67.8862
7,8.482966293036922,16.727043,-67.8866
8,8.477311554177444,16.75402,-67.887024
9,8.470209159282422,16.780998,-67.88742
10,8.457970348056527,16.807983,-67.88782
11,8.446071897508725,16.834953,-67.888245
12,8.432174053839544,16.861938,-67.88864
13,8.415926512,16.888916,-67.88904
14,8.401234296921103,16.915878,-67.889465
15,8.385229218,16.942871,-67.88986
16,8.366940264197094,16.969849,-67.89026
17,8.350327294229423,16.996819,-67.890686
18,8.331836191997045,17.023788,-67.89108
19,8.312016467,17.050789,-67.89151
20,8.293926510269785,17.077751,-67.89191
21,8.273716830270988,17.104736,-67.892334
22,8.252333716112087,17.131706,-67.89273
23,8.232747490780755,17.158691,-67.89313
24,8.210786833184628,17.185677,-67.893555
25,8.188057523,17.212639,-67.89395
26,8.167185887544033,17.239601,-67.89435
27,8.143650275511291,17.266586,-67.894775
28,8.119467919879218,17.293564,-67.89517
29,8.096955398293112,17.320541,-67.8956
30,8.071265257,17.347511,-67.895996
31,8.044682301907349,17.374496,-67.89642
32,8.019213060951376,17.401474,-67.89682
33,7.989845413,17.428429,-67.89722
34,7.959580937476569,17.455406,-67.897644
35,7.930387762450495,17.482407,-67.89804
36,7.896668532125119,17.509369,-67.89847
37,7.8630713495531355,17.536339,-67.898865
38,7.831145526930969,17.563309,-67.89929
39,7.794369125618056,17.590271,-67.89969
40,7.757417167083557,17.617249,-67.900085
41,7.722614734994471,17.644234,-67.90051
42,7.683104413730097,17.671196,-67.90094
43,7.646115194864457,17.69815,-67.90134
44,7.612993477334754,17.725143,-67.90173
45,7.573666633,17.752106,-67.90216
46,7.536557370811172,17.779076,-67.90259
47,7.5069623844411435,17.80603,-67.902985
48,7.4758962864454634,17.833008,-67.90338
