,0
0,8.467109358885143
1,8.476127713851303
2,8.485829770270328
3,8.491212192168051
4,8.491186869364945
5,8.491187391017032
6,8.489235280743387
7,8.482966293036922
8,8.477311554177444
9,8.470209159282422
10,8.457970348056527
11,8.446071897508725
12,8.432174053839544
13,8.41592651163435
14,8.401234296921103
15,8.38522921772719
16,8.366940264197094
17,8.350327294229423
18,8.331836191997045
19,8.31201646738882
20,8.293926510269785
21,8.273716830270988
22,8.252333716112087
23,8.232747490780755
24,8.210786833184628
25,8.18805752277122
26,8.167185887544033
27,8.143650275511291
28,8.119467919879218
29,8.096955398293112
30,8.07126525677649
31,8.044682301907349
32,8.019213060951376
33,7.98984541315258
34,7.959580937476569
35,7.930387762450495
36,7.896668532125119
37,7.8630713495531355
38,7.831145526930969
39,7.794369125618056
40,7.757417167083557
41,7.722614734994471
42,7.683104413730097
43,7.646115194864457
44,7.612993477334754
45,7.57366663303346
46,7.536557370811172
47,7.5069623844411435
48,7.4758962864454634
49,7.454464315801424
50,7.439748260769882
51,7.4115377257373085
52,7.369051888370086
53,7.33490767616086
54,7.335847360900543
55,7.345776331629293
56,7.385205760954402
57,7.368168745724354
58,7.3455023558295895
59,7.370300949643266
60,7.387377275463446
61,7.368621483773933
62,7.369448745214901
63,7.346079161000475
64,7.361661825452115
65,7.386972615800493
66,7.398235791336026
67,7.396772998085422
68,7.402444712080262
69,7.41289041944515
70,7.4195652642360965
71,7.432496553392504
72,7.4435021662596
73,7.448135351700517
74,7.456721759051303
75,7.466920509360624
76,7.472248041998293
77,7.4799174134322595
78,7.485334922916605
79,7.488477843770498
80,7.496238837451415
81,7.506421010687231
82,7.511429170695341
83,7.518275047382748
84,7.52317934949177
85,7.525686182821995
86,7.531198793000527
87,7.5376265600567836
88,7.539719598275894
89,7.543084038733241
90,7.544991947909115
91,7.544668266919482
92,7.546221365187074
93,7.546914263168392
94,7.545016217973066
95,7.54487857174413
96,7.544091984843218
97,7.541184384266001
98,7.539652156720663
99,7.536571689536688
100,7.531857012191628
101,7.528506599236541
102,7.523354386191952
103,7.516167537022477
104,7.510493390119841
105,7.50266052893748
106,7.4937181310612075
107,7.487126695486164
108,7.479895477338877
109,7.469274160535219
110,7.460351713628315
111,7.449295417597132
112,7.436960356820916
113,7.427648508314182
114,8.466619242034593
115,8.475968480479722
116,8.485182918493841
117,8.489373039152198
118,8.48795243893779
119,8.487245597550205
120,8.48362271135874
121,8.476615695125375
122,8.470563550802675
123,8.463261462232037
124,8.450335611356971
125,8.438623082688206
126,8.424582458558938
127,8.408416373792935
128,8.393921817142596
129,8.37806868074525
130,8.359692625004113
131,8.343298377238337
132,8.324836471329105
133,8.305069438141455
134,8.287282794916653
135,8.267370924420991
136,8.246270008137937
137,8.227041449389603
138,8.205310050132667
139,8.182740012598138
140,8.162063981730984
141,8.13847141954861
142,8.114254393872482
143,8.0917956373434
144,8.066008463915265
145,8.039356710818648
146,8.013993920803967
147,7.984621997355562
148,7.954342116386878
149,7.925111863581856
150,7.891058902212156
151,7.856970566867114
152,7.8244937600327376
153,7.786960002295052
154,7.749246889516293
155,7.713544746779116
156,7.6723501469436455
157,7.63350220557196
158,7.598327261830844
159,7.556807884834673
160,7.517527325822263
161,7.485852691823439
162,7.451130091331956
163,7.427438519092904
164,7.412734411947089
165,7.386714512064257
166,7.342415181309849
167,7.306084386163379
168,7.298760785721806
169,7.306745749653244
170,7.347567915018741
171,7.351044033802603
172,7.333094326338449
173,7.346825832966805
174,7.338729738001712
175,7.312628932469036
176,7.315893774964948
177,7.300393173011723
178,7.319343025834085
179,7.349094961846856
180,7.359999439204505
181,7.359154428844247
182,7.368916263185513
183,7.384718929927082
184,7.394746944696533
185,7.4117256965627405
186,7.4268196788889345
187,7.434602690939674
188,7.446029103818892
189,7.457890692045392
190,7.464240750565554
191,7.473377910361104
192,7.48052739311459
193,7.484746144765042
194,7.4933174854940345
195,7.503459671915377
196,7.508364959562163
197,7.5162317700535795
198,7.522657423353219
199,7.5262758663920595
200,7.532483999810731
201,7.539044983705793
202,7.541239654654346
203,7.545275362973132
204,7.548131200771806
205,7.548363282049199
206,7.550220073195041
207,7.550868171127317
208,7.548950131972461
209,7.548831521014759
210,7.548014802728716
211,7.545053268798684
212,7.543497169199286
213,7.5401885872559715
214,7.53532965719374
215,7.53198045161502
216,7.526735204016087
217,7.519397279208872
218,7.513764429436863
219,7.505612224332735
220,7.49650292975082
221,7.490057263413705
222,7.4831483480498076
223,7.472260478058869
224,7.463271764106684
