,lat,long
0,16.53817,-67.88376
1,16.565155,-67.884155
2,16.59214,-67.88458
3,16.619118,-67.88498
4,16.64611,-67.885376
5,16.673065,-67.8858
6,16.700066,-67.8862
7,16.727043,-67.8866
8,16.75402,-67.887024
9,16.780998,-67.88742
10,16.807983,-67.88782
11,16.834953,-67.888245
12,16.861938,-67.88864
13,16.888916,-67.88904
14,16.915878,-67.889465
15,16.942871,-67.88986
16,16.969849,-67.89026
17,16.996819,-67.890686
18,17.023788,-67.89108
19,17.050789,-67.89151
20,17.077751,-67.89191
21,17.104736,-67.892334
22,17.131706,-67.89273
23,17.158691,-67.89313
24,17.185677,-67.893555
25,17.212639,-67.89395
26,17.239601,-67.89435
27,17.266586,-67.894775
28,17.293564,-67.89517
29,17.320541,-67.8956
30,17.347511,-67.895996
31,17.374496,-67.89642
32,17.401474,-67.89682
33,17.428429,-67.89722
34,17.455406,-67.897644
35,17.482407,-67.89804
36,17.509369,-67.89847
37,17.536339,-67.898865
38,17.563309,-67.89929
39,17.590271,-67.89969
40,17.617249,-67.900085
41,17.644234,-67.90051
42,17.671196,-67.90094
43,17.69815,-67.90134
44,17.725143,-67.90173
45,17.752106,-67.90216
46,17.779076,-67.90259
47,17.80603,-67.902985
48,17.833008,-67.90338
49,17.859978,-67.90381
50,17.88694,-67.904236
51,17.91391,-67.90463
52,17.940895,-67.90503
53,17.96785,-67.90546
54,17.994812,-67.90588
55,18.021782,-67.90628
56,18.048737,-67.90668
57,18.075706,-67.907104
58,18.102684,-67.90753
59,18.129646,-67.90793
60,18.1566,-67.908356
61,18.18357,-67.90875
62,18.210526,-67.90918
63,18.237488,-67.90958
64,18.264458,-67.91
65,18.291412,-67.9104
66,18.318367,-67.91083
67,18.345345,-67.911255
68,18.372292,-67.91165
69,18.399261,-67.91208
70,18.426216,-67.912476
71,18.45317,-67.9129
72,18.480125,-67.91333
73,18.507103,-67.91373
74,18.534042,-67.91412
75,18.561005,-67.91455
76,18.58796,-67.91498
77,18.614914,-67.915405
78,18.641884,-67.9158
79,18.668823,-67.9162
80,18.695763,-67.916626
81,18.722748,-67.91705
82,18.749687,-67.91748
83,18.776619,-67.91788
84,18.803581,-67.918304
85,18.830536,-67.9187
86,18.857483,-67.91913
87,18.884445,-67.919556
88,18.911385,-67.91995
89,18.938316,-67.92038
90,18.965286,-67.92078
91,18.992233,-67.9212
92,19.019165,-67.92163
93,19.04612,-67.92206
94,19.073051,-67.922455
95,19.100006,-67.92288
96,19.126953,-67.92328
97,19.153893,-67.923706
98,19.180824,-67.92413
99,19.207787,-67.92456
100,19.234718,-67.92496
101,19.261658,-67.925385
102,19.288582,-67.92581
103,19.315529,-67.92621
104,19.342476,-67.926636
105,19.3694,-67.92706
106,19.396332,-67.92749
107,19.423294,-67.92789
108,19.450218,-67.928314
109,19.47715,-67.92871
110,19.504074,-67.92914
111,19.531029,-67.929565
112,19.557945,-67.92999
113,19.584877,-67.93042
114,16.538567,-67.85562
115,16.565552,-67.85602
116,16.592522,-67.856415
117,16.6195,-67.85681
118,16.6465,-67.85724
119,16.67347,-67.857635
120,16.70044,-67.85803
121,16.727432,-67.85843
122,16.754402,-67.858826
123,16.781395,-67.85925
124,16.808365,-67.85965
125,16.835342,-67.86005
126,16.862343,-67.86044
127,16.889305,-67.86084
128,16.916275,-67.86127
129,16.94326,-67.861664
130,16.970238,-67.86206
131,16.997208,-67.86249
132,17.024193,-67.862885
133,17.051163,-67.86328
134,17.07814,-67.86368
135,17.10514,-67.864075
136,17.132095,-67.8645
137,17.159073,-67.8649
138,17.186058,-67.865295
139,17.213043,-67.86572
140,17.240005,-67.86612
141,17.266983,-67.866516
142,17.293953,-67.86694
143,17.320923,-67.86734
144,17.347916,-67.86774
145,17.374878,-67.868164
146,17.401863,-67.86856
147,17.428825,-67.86896
